identical,similar,new,deleted,simiScore
659,11,1625,141,0.812577065351418

component_type,component_name,lite,full,is_similar
activity,cn.wps.moffice.pdf.multiactivity.PDFReader7,1,1,0
activity,cn.wps.moffice.main.cloud.roaming.login.core.ext.cn.cmcc.IdentityCmccActivity,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader6,1,1,0
activity,cn.wps.moffice.main.scan.ui.PadPreCertificateActivity,1,1,0
activity,cn.wps.moffice.main.cloud.drive.wx.WxShareFolderActivity,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader9,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader8,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader3,1,1,0
activity,cn.wps.moffice.main.thirdparty.ui.ThirdpartyDocToolsActivity,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader2,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader5,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader4,1,1,0
activity,cn.wps.moffice.main.scan.ui.PadDistinguishResultActivity,1,1,0
activity,com.mopub.mobileads.MraidVideoPlayerActivity,1,1,0
activity,cn.wps.moffice.presentation.control.template.superppt.SuperPptPreviewActivity,1,1,0
activity,cn.wps.moffice.pdf.multiactivity.PDFReader1,1,1,0
activity,cn.wps.moffice.common.premium.PremiumActivity,1,1,0
activity,cn.wps.moffice.main.translate.TranslateHistoryActivity,1,1,0
activity,cn.wps.moffice.developer.view.DevelopActivity,1,1,0
activity,cn.wps.moffice.main.cloud.drive.collection.CollectFileActivity,1,1,0
activity,cn.wps.moffice.main.scan.ui.OpenLocalPicActivity,1,1,0
activity,cn.wps.moffice.docer.picstore.ext.PicStoreInsertActivity,1,1,0
activity,cn.wps.moffice.main.cloud.drive.upload.faillist.view.TransmissionRecordActivity,1,1,0
activity,cn.wps.moffice.main.push.explore.PushTipsWebActivity02,1,1,0
